City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
255,Tomelloso,ES,39.1522,-3.0243,54.52,59,99,7.27,overcast clouds
256,Ca Mau,VN,9.1769,105.15,79.45,86,75,3.4,broken clouds
257,Biloela,AU,-24.4167,150.5,64.09,77,100,11.56,overcast clouds
258,Nioro,GM,13.35,-15.75,94.98,13,1,6.55,clear sky
259,Aklavik,CA,68.2191,-135.0107,32.05,99,100,5.32,overcast clouds
260,Mantsala,FI,60.6609,25.2838,40.75,80,85,7.87,overcast clouds
261,Klaksvik,FO,62.2266,-6.589,40.12,81,100,16.73,overcast clouds
262,Shitanjing,CN,39.2342,106.3439,59.02,17,78,5.12,broken clouds
263,Brea,US,33.9167,-117.9001,88.79,13,0,5.99,clear sky
264,Wajima,JP,37.4,136.9,58.55,84,100,3.04,overcast clouds
265,Rudsar,IR,37.1376,50.288,60.78,79,100,1.97,overcast clouds
266,Vung Tau,VN,10.346,107.0843,81.27,82,68,11.74,broken clouds
267,Kahului,US,20.8947,-156.47,82.42,63,40,17.27,scattered clouds
268,Ust-Kuyga,RU,70.0167,135.6,-2.27,100,98,1.68,overcast clouds
269,Manakara,MG,-22.1333,48.0167,69.89,88,95,2.42,light rain
270,Cayenne,GF,4.9333,-52.3333,82.44,1,40,5.75,scattered clouds
271,Brodnica,PL,53.2597,19.3965,43.43,88,99,9.57,overcast clouds
272,Egvekinot,RU,66.3167,-179.1667,18.73,85,19,2.73,few clouds
273,Atasu,KZ,48.6814,71.6433,36.21,80,100,16.15,overcast clouds
274,Matara,LK,5.9485,80.5353,78.22,87,39,0.09,moderate rain
275,Kruisfontein,ZA,-34.0033,24.7314,54.88,74,98,7.4,overcast clouds
276,Saint-Augustin,CA,51.226,-58.6502,38.19,88,100,20.56,overcast clouds
277,Oranjemund,NA,-28.55,16.4333,54.3,86,0,13.8,clear sky
278,Cumpas,MX,29.9833,-109.7833,84.81,11,0,9.57,clear sky
279,Tuatapere,NZ,-46.1333,167.6833,52.97,89,100,6.44,overcast clouds
280,Aplahoue,BJ,6.9333,1.6833,80.22,75,100,5.73,overcast clouds
281,Hami,CN,42.8,93.45,61.93,40,71,18.23,broken clouds
282,Ternate,ID,0.8,127.4,80.31,82,82,2.68,broken clouds
283,Patiya,BD,22.2931,91.9762,74.79,96,14,4.25,few clouds
284,Prince Rupert,CA,54.3161,-130.3201,44.69,87,100,23.02,light rain
285,Jumla,NP,29.2747,82.1838,47.53,35,0,4.54,clear sky
286,Gornopravdinsk,RU,60.05,69.9,30.94,90,53,6.04,broken clouds
287,Grindavik,IS,63.8424,-22.4338,45.07,81,100,11.5,overcast clouds
288,Batsfjord,NO,70.6345,29.7185,35.53,86,75,3.44,broken clouds
289,Khatanga,RU,71.9667,102.5,-12.37,100,100,5.26,overcast clouds
290,Kurya,RU,51.6003,82.2888,29.98,68,50,7.38,scattered clouds
291,Baillif,GP,16.0202,-61.7463,80.1,65,99,9.57,overcast clouds
292,Norman Wells,CA,65.282,-126.8329,46.44,46,20,14.97,few clouds
293,Saint-Denis,FR,48.9167,2.3333,61.14,60,0,9.22,clear sky
294,Homer,US,59.6425,-151.5483,50.04,75,0,8.05,clear sky
295,Severo-Kurilsk,RU,50.6789,156.125,33.21,85,75,7.99,broken clouds
296,Okhotsk,RU,59.3833,143.3,24.57,93,90,8.37,overcast clouds
297,Copiapo,CL,-27.3667,-70.3333,62.29,51,0,6.78,clear sky
298,Kanor,IN,24.4333,74.2667,83.7,14,0,12.19,clear sky
299,Sinnamary,GF,5.3833,-52.95,79.59,87,86,9.86,overcast clouds
300,Numan,NG,9.4667,12.0333,93.2,34,42,7.27,scattered clouds
301,Barabai,ID,-2.5833,115.3833,74.5,95,93,1.48,overcast clouds
302,Port Hedland,AU,-20.3167,118.5667,68.05,88,3,8.05,clear sky
303,Portland,US,45.5234,-122.6762,70.74,45,0,4.0,clear sky
304,Rio Cuarto,AR,-33.1307,-64.3499,86.47,45,0,21.85,clear sky
305,Ypsilanti,US,42.2412,-83.613,86.0,40,20,27.63,few clouds
306,Zambezi,ZM,-13.5432,23.1047,67.33,71,57,4.94,broken clouds
307,Kamaishi,JP,39.2667,141.8833,55.06,81,6,5.06,clear sky
308,Miri,MY,4.4148,114.0089,77.14,94,40,3.44,scattered clouds
309,Bara,NG,10.3744,10.7288,91.54,32,91,7.16,overcast clouds
310,Danshui,CN,22.7984,114.4672,75.81,93,23,3.53,few clouds
311,Hay River,CA,60.8156,-115.7999,42.78,45,40,14.97,scattered clouds
312,La Primavera,CO,5.4906,-70.4092,92.95,40,63,7.18,broken clouds
313,Moa,CU,20.6569,-74.9403,79.5,69,100,13.53,overcast clouds
314,Nongstoin,IN,25.5167,91.2667,62.28,92,36,4.52,scattered clouds
315,Toora-Khem,RU,52.4675,96.11,14.81,85,17,4.38,few clouds
316,Mahebourg,MU,-20.4081,57.7,75.49,73,40,16.11,scattered clouds
317,Miguel Hidalgo,MX,19.4225,-99.2028,80.58,21,40,8.05,scattered clouds
318,Moncton,CA,46.1159,-64.8019,45.05,60,100,26.46,overcast clouds
319,Kaliua,TZ,-5.0606,31.7936,65.97,98,100,3.78,moderate rain
320,Ipira,BR,-12.1583,-39.7372,76.68,65,0,11.56,clear sky
321,Raisinghnagar,IN,29.5358,73.4492,84.81,14,4,1.86,clear sky
322,Phonhong,LA,18.5007,102.4166,77.2,81,7,2.39,clear sky
323,Chapais,CA,49.7834,-74.8492,40.78,73,100,12.46,overcast clouds
324,Constitucion,CL,-35.3333,-72.4167,56.48,98,100,13.8,light rain
325,San Ignacio,BZ,17.1561,-89.0714,96.94,44,75,6.91,broken clouds
326,Kundiawa,PG,-6.0167,144.9667,58.8,95,100,3.71,overcast clouds
327,Samarai,PG,-10.6167,150.6667,82.81,76,100,12.46,overcast clouds
328,Kamsack,CA,51.5667,-101.9009,35.13,64,98,18.97,overcast clouds
329,Temerloh,MY,3.4483,102.4176,74.05,98,92,1.28,overcast clouds
330,Pangnirtung,CA,66.1451,-65.7125,21.2,68,100,5.75,overcast clouds
331,Kisangani,CD,0.5167,25.2,70.0,99,99,2.35,overcast clouds
332,Los Llanos De Aridane,ES,28.6585,-17.9182,64.15,79,40,2.3,scattered clouds
333,Ilulissat,GL,69.2167,-51.1,28.42,86,100,0.0,light snow
334,Tateyama,JP,34.9833,139.8667,57.13,94,40,2.3,fog
335,Vila Do Maio,CV,15.1333,-23.2167,79.59,82,5,10.42,clear sky
336,Leningradskiy,RU,69.3833,178.4167,18.79,92,94,2.1,overcast clouds
337,Ponta Delgada,PT,37.7333,-25.6667,59.72,77,20,14.97,few clouds
338,La Romana,DO,18.4273,-68.9728,84.56,58,40,17.27,scattered clouds
339,College,US,64.8569,-147.8028,46.72,49,40,4.61,scattered clouds
340,Ostrovnoy,RU,68.0531,39.5131,34.39,96,100,12.66,overcast clouds
341,Rio Gallegos,AR,-51.6226,-69.2181,44.65,87,100,9.22,overcast clouds
342,Spornoye,RU,50.8448,37.2913,48.63,95,63,6.85,broken clouds
